Age,Gender,Ethnicity,Language,Income,health1,health2,health3,health4,health5,health6,health7,health8,health9,health10,health11,health12,health13,health14,health15,health16,health17,health18,health19,health20,health21,health22,health23,health24,health25,health26,work1,work2,work3,work4,work5,work6,work7,work8,work9,work10,work11,work12,work13,work14,work15,work16,work17
18,1,6,2,2,1,4,1,1,4,4,1,2,1,1,4,5,1,1,4,1,5,2,5,1,5,5,1,5,5,5,5,4,5,2,5,5,1,5,5,5,5,5,4,5,4,5,4
22,1,6,2,1,3,4,1,1,3,4,3,3,1,3,4,3,4,2,3,1,3,4,1,5,5,5,5,3,2,5,3,1,2,1,1,1,4,4,5,4,5,1,2,1,1,1,1
18,1,7,1,6,4,5,5,5,4,4,4,4,5,4,4,5,5,4,5,5,3,2,2,2,5,3,3,2,4,4,1,2,4,3,4,3,4,3,2,4,4,2,3,3,2,3,2
20,1,7,1,4,4,5,4,2,5,4,1,4,5,5,4,5,5,5,5,5,2,1,2,5,4,4,2,5,4,5,4,3,4,4,4,4,4,5,5,5,4,3,2,2,1,3,4
20,1,7,1,1,5,5,5,5,5,5,1,5,1,5,4,1,5,2,4,2,4,2,1,2,5,5,5,1,1,5,1,2,4,4,4,4,4,3,2,3,2,2,2,2,1,2,1
26,1,1,1,1,5,4,5,5,5,5,5,5,1,1,1,5,5,1,4,5,5,5,2,5,5,5,4,4,5,5,2,4,5,4,4,2,5,4,5,5,5,4,2,4,5,4,4
18,1,1,1,6,3,2,4,4,4,4,4,4,4,2,4,2,4,4,3,5,4,2,2,3,4,3,2,2,4,3,2,2,2,1,2,2,4,4,4,4,4,3,2,2,2,3,2
21,1,1,1,3,4,2,4,4,4,4,2,4,5,2,2,2,4,2,2,2,2,2,2,3,4,2,2,2,2,5,2,1,4,1,3,2,2,4,4,4,4,2,2,2,2,2,2
18,1,1,1,2,3,2,4,4,2,1,2,4,1,1,5,3,1,3,4,5,5,4,2,5,5,2,2,1,2,2,2,2,4,1,2,2,3,4,4,4,4,2,2,2,2,2,2
18,1,3,1,3,4,2,5,5,2,1,1,1,4,1,4,1,5,1,4,2,5,2,5,5,5,5,2,1,5,5,4,2,4,4,5,5,3,5,4,5,4,5,5,5,5,5,4
19,1,1,1,6,5,5,4,4,4,5,2,4,2,2,4,4,4,2,3,3,4,4,2,4,4,4,4,5,5,5,4,3,4,3,4,4,2,4,3,4,4,3,3,3,2,2,2
19,1,1,1,6,5,4,5,5,5,4,5,5,5,5,1,4,5,2,5,5,5,3,1,4,4,4,1,2,5,5,4,3,5,4,4,5,2,5,5,5,5,4,5,3,2,3,3
18,1,7,2,2,5,5,2,2,5,5,3,2,4,3,4,3,4,2,3,5,4,2,2,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5
18,1,3,1,6,1,4,5,5,4,1,2,5,5,1,5,1,5,1,1,5,2,1,1,1,1,1,1,1,2,1,4,3,2,5,5,4,2,5,5,5,5,2,5,5,4,5,5
23,2,6,2,3,4,3,2,2,1,3,1,4,2,5,3,1,4,2,4,5,3,3,4,4,5,5,2,5,3,5,1,4,4,4,4,3,5,3,3,3,3,4,3,3,2,4,5
18,1,3,2,3,5,5,4,2,5,2,3,3,3,3,5,5,2,5,5,4,5,2,3,5,5,3,1,3,1,5,3,3,5,1,5,5,4,5,4,4,4,2,1,2,2,3,4
20,1,7,1,6,4,4,4,4,3,2,4,4,4,1,4,4,4,4,4,4,4,2,3,4,4,4,2,2,1,5,3,3,4,4,3,3,2,4,4,5,5,4,4,4,3,4,4
19,3,1,1,5,2,4,4,5,4,2,5,5,1,1,1,1,5,4,2,4,3,4,2,2,4,3,2,5,5,5,1,1,4,1,1,1,4,4,4,4,4,1,1,1,1,1,1
23,1,2,2,1,5,3,3,4,4,5,5,4,4,4,3,3,2,2,5,3,5,3,4,5,5,2,4,5,5,5,4,4,4,4,5,4,3,5,4,5,5,4,5,1,4,5,5
19,1,3,1,3,2,4,5,5,4,4,2,5,1,1,2,2,2,4,4,1,4,4,2,4,4,4,5,2,5,5,2,1,4,2,2,1,4,4,4,4,4,1,1,1,1,2,1
18,1,3,1,2,4,3,4,4,2,4,2,5,5,3,4,3,2,3,1,2,3,2,4,2,4,2,4,3,5,5,3,2,3,4,4,4,3,3,4,4,4,2,4,3,2,2,4
18,1,3,2,3,5,5,4,4,5,2,4,3,3,3,4,4,3,5,5,4,5,4,4,5,5,5,1,5,5,5,3,4,5,3,5,5,4,5,5,5,5,4,4,4,4,4,4
21,1,7,1,4,3,4,4,5,4,4,1,4,4,1,4,1,5,3,4,5,3,4,1,2,3,3,5,1,4,5,3,4,5,3,5,4,4,5,5,5,4,3,2,2,4,5,4
19,1,6,1,2,4,4,3,2,3,4,4,5,4,1,4,4,5,3,4,4,2,3,3,3,4,3,3,5,5,5,4,3,4,3,3,3,4,3,4,4,4,3,3,2,2,2,3
31,1,2,1,2,4,4,5,5,5,4,5,3,5,5,5,5,5,4,5,5,5,5,2,5,5,3,5,1,3,5,4,4,5,4,4,4,4,4,4,4,4,1,2,2,1,1,4
18,1,1,1,3,4,1,2,2,2,1,5,5,4,1,1,1,5,4,3,5,5,3,1,5,4,5,1,1,5,4,1,3,5,4,5,3,4,4,4,5,4,3,2,3,3,4,4
19,1,7,1,3,5,2,5,5,5,3,4,5,5,5,5,2,5,4,3,4,4,1,2,3,5,1,5,1,5,5,4,2,5,4,4,5,5,5,5,5,5,4,4,4,2,2,4
18,1,1,1,5,4,2,5,5,2,2,1,5,5,2,1,1,4,4,4,1,5,5,4,5,5,5,5,2,5,5,1,1,4,2,3,4,4,2,1,4,1,1,1,1,1,1,2
35,1,1,1,5,2,4,1,5,5,5,5,4,5,4,4,4,2,4,5,2,5,5,5,5,5,5,5,5,5,5,3,3,5,1,5,5,3,5,4,5,5,3,3,3,2,3,2
19,3,3,2,NA,1,2,1,1,2,4,2,3,2,1,2,4,3,2,2,3,3,2,3,3,4,3,5,4,2,4,3,3,4,2,4,2,4,4,5,5,4,2,3,2,1,3,2
18,1,2,1,6,5,4,5,5,4,4,1,4,5,1,1,5,5,2,1,4,5,4,2,2,5,2,3,5,4,5,2,2,4,3,4,2,4,2,4,4,4,5,5,5,4,5,2
18,1,6,1,2,5,5,2,3,5,4,5,5,5,1,5,5,5,1,2,4,5,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,3,5,1,5,5,5
19,1,1,1,6,4,4,5,5,4,4,4,5,5,5,5,5,5,4,4,4,2,4,2,2,4,2,2,2,2,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4,2,4,4
18,1,6,1,3,4,4,2,2,4,5,5,5,5,5,5,5,5,4,4,5,5,1,3,5,5,5,5,5,5,5,4,4,4,4,4,4,3,4,4,4,4,1,2,4,2,3,3
19,1,7,2,5,4,1,1,1,1,1,1,4,4,1,1,3,1,3,3,4,2,3,2,2,5,2,5,2,5,5,1,4,5,5,5,2,4,4,3,4,3,4,4,3,1,2,1
19,2,3,2,2,5,5,5,5,5,4,1,1,1,1,1,3,5,5,2,5,5,5,2,5,2,4,2,5,5,5,4,3,5,5,5,3,2,5,4,5,5,5,5,5,5,5,3
18,1,3,1,1,3,1,4,1,3,1,1,1,2,1,5,1,5,4,4,4,2,2,2,2,3,3,1,1,2,5,1,1,4,2,4,1,4,2,2,3,3,1,4,2,1,4,2
22,2,4,1,2,2,2,3,4,3,2,4,3,4,3,2,4,3,4,4,3,2,3,3,4,3,2,2,3,4,2,2,3,4,4,3,4,3,2,3,2,3,4,3,2,3,4,3
36,2,1,1,4,4,2,4,4,4,5,4,4,2,2,2,2,5,4,5,4,5,4,4,4,4,5,5,5,1,5,2,4,3,3,3,3,2,4,4,4,4,3,3,4,2,4,4
19,2,1,1,1,5,4,4,4,5,4,5,4,4,4,3,5,4,5,5,5,2,4,3,3,4,1,1,5,3,5,4,5,3,4,5,3,4,4,5,4,4,3,4,4,4,4,4
35,2,4,1,3,3,3,3,3,4,4,4,3,3,3,3,3,4,2,3,4,4,3,4,4,4,3,2,3,3,3,3,5,2,2,3,3,2,3,3,1,3,4,1,3,4,3,2
29,1,3,1,3,1,5,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,2,1,1,6,5,4,2,2,2,3,2,5,4,3,3,4,5,3,5,5,3,2,3,3,3,5,2,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3
22,1,1,1,2,2,4,2,3,4,4,1,5,5,1,1,3,1,2,3,1,5,5,5,4,5,2,5,5,5,5,1,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1
20,1,2,1,1,2,2,1,3,2,4,3,5,4,4,4,5,4,5,4,4,3,2,1,2,3,3,1,3,2,2,2,3,2,4,3,5,3,4,4,5,5,4,2,4,5,5,5
35,2,1,1,2,4,4,4,4,4,4,4,4,4,4,2,2,4,4,5,4,5,2,2,2,4,4,4,2,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
21,1,7,1,4,5,5,4,4,4,5,4,5,3,3,5,4,4,4,2,3,4,1,1,1,4,2,3,5,4,5,4,5,5,5,4,4,5,4,5,5,3,3,5,4,5,4,5
56,2,1,1,5,2,5,4,4,4,5,4,4,4,4,4,2,1,4,4,2,2,4,3,2,4,2,5,1,2,1,2,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5
40,2,7,1,4,4,NA,4,2,3,4,5,4,5,2,4,4,5,5,5,4,5,5,4,5,5,5,3,1,5,5,4,3,5,5,5,4,3,4,4,5,4,3,4,4,1,4,4
25,2,1,1,3,5,4,3,4,5,5,5,5,5,4,4,3,4,4,5,5,1,2,2,1,5,1,1,3,5,4,4,4,5,4,4,5,5,4,5,5,4,4,4,4,5,3,4
35,2,5,1,5,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,2,1,2,3,5,2,2,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4
22,2,1,1,4,4,4,3,3,3,4,3,4,4,4,2,2,2,3,3,2,3,4,3,3,4,3,4,2,2,2,3,3,3,4,4,4,4,4,4,4,4,2,3,2,2,4,4
23,1,1,1,4,4,4,5,5,4,4,1,4,4,5,4,4,5,4,5,4,4,4,4,4,5,2,2,1,5,5,4,4,4,4,5,5,4,4,4,4,5,4,4,4,2,2,4
